sequence_1,sequence_2,sequence_3,sequence_4,sequence_5,sequence_6,sequence_7,sequence_8,sequence_9,sequence_10,sequence_11,sequence_12,sequence_13,sequence_14,sequence_15,sequence_16,sequence_17,sequence_18,sequence_19,sequence_20,sequence_21,sequence_22,sequence_23,sequence_24,sequence_25,sequence_26,sequence_27,sequence_28,sequence_29,sequence_30,sequence_31,sequence_32,sequence_33,sequence_34,sequence_35,sequence_36,sequence_37,sequence_38,sequence_39,sequence_40,sequence_41,sequence_42,sequence_43,sequence_44,sequence_45,sequence_46,sequence_47,sequence_48,sequence_49,sequence_50,sequence_51,sequence_52,sequence_53,sequence_54,sequence_55,sequence_56,sequence_57,sequence_58,sequence_59,sequence_60,sequence_61,sequence_62,sequence_63,sequence_64,sequence_65,sequence_66,sequence_67,sequence_68,sequence_69,sequence_70,sequence_71,sequence_72,sequence_73,sequence_74,sequence_75,sequence_76,sequence_77,sequence_78,sequence_79,sequence_80,sequence_81,sequence_82,sequence_83,sequence_84,sequence_85,sequence_86,sequence_87,sequence_88,sequence_89,sequence_90,sequence_91,sequence_92,sequence_93,sequence_94,sequence_95,sequence_96,sequence_97,sequence_98,sequence_99,sequence_100
-119.696526,-119.12359,-116.867134,-118.4455,-117.898796,-110.649445,-118.15937,-117.26066,-118.956505,-111.9944,-117.85109,-118.219185,-118.27805,-117.77315,-116.1627,-114.34849,-118.12949,-119.94198,-118.708565,-111.68961,-117.95597,-121.20315,-115.39319,-112.59686,-113.055046,-112.03377,-113.03975,-119.68723,-119.42356,-117.55729,-114.4905,-120.19639,-119.589,-116.89895,-115.66114,-120.433495,-119.27709,-117.596756,-113.96774,-116.38682,-115.89321,-95.10508,-120.414375,-117.70129,-111.87357,-118.38005,-117.76844,-120.32486,-119.710014,-113.891136,-113.01807,-119.473,-121.75266,-117.01139,-117.19584,-118.09902,-118.10001,-116.81823,-121.93985,-118.56293,-116.14333,-117.16526,-120.68336,-118.980576,-117.76519,-115.532104,-120.83651,-113.78679,-117.69319,-117.44106,-117.92749,-117.62708,-114.82852,-118.97541,-113.26,-115.36468,-115.56986,-119.01082,-121.0364,-117.26193,-118.224846,-120.35598,-120.27601,-119.6005,-115.769,-116.63119,-119.87339,-116.58877,-118.54275,-118.01214,-110.884926,-112.32564,-120.60122,-119.626976,-116.58187,-120.07308,-121.543594,-116.84922,-111.45656,-119.8132
-116.42405,-115.467354,-112.73902,-113.70743,-112.85447,-109.668175,-115.39891,-114.75075,-115.60618,-107.75422,-113.59908,-116.185844,-114.91424,-113.256805,-111.6671,-109.13372,-114.46265,-115.91724,-114.83375,-111.00251,-114.61536,-118.164955,-108.74366,-108.807625,-108.75939,-109.04969,-109.8972,-116.47619,-116.09101,-111.54042,-110.84219,-116.19169,-115.93481,-113.87771,-111.91676,-116.37861,-116.21831,-114.730515,-110.91404,-112.967026,-111.703926,-94.59073,-117.89936,-113.51536,-108.233665,-115.746254,-113.75695,-115.884735,-114.95937,-109.96192,-107.47491,-116.87361,-119.32258,-114.402756,-112.72746,-114.49533,-115.11492,-111.77906,-118.69723,-114.38155,-113.64187,-111.65633,-116.400375,-114.88976,-110.87165,-111.58713,-117.044304,-107.814896,-114.02064,-113.126076,-114.802315,-113.39414,-113.23446,-117.4802,-108.6782,-109.462654,-112.28614,-116.612236,-118.38117,-113.57714,-114.34068,-115.67788,-115.9306,-115.92808,-111.26339,-113.57272,-116.40084,-115.12169,-114.87142,-114.4796,-109.33114,-107.654884,-117.14493,-115.906685,-112.22078,-116.30367,-118.517395,-111.76966,-109.59969,-115.1108
-115.59482,-115.96008,-111.79227,-113.74851,-113.58895,-108.91183,-114.30179,-114.56887,-115.1192,-109.613884,-112.71459,-116.38894,-114.21811,-113.77592,-112.005455,-110.14413,-113.838646,-115.07403,-114.76659,-106.39533,-113.7313,-117.43302,-110.792984,-107.153145,-108.844826,-108.19696,-109.52866,-115.58968,-114.61619,-112.04836,-111.454956,-116.22696,-115.72576,-113.38635,-111.191574,-116.107,-114.53413,-113.61562,-110.26136,-112.893585,-110.660164,-94.92165,-117.1953,-112.982475,-109.98034,-115.02837,-112.795555,-115.56543,-115.68942,-110.49278,-108.77892,-117.153496,-118.512856,-113.82998,-113.21638,-115.339554,-115.30009,-111.42822,-119.49995,-114.20364,-111.39611,-111.798164,-117.084206,-114.64166,-111.16491,-109.52752,-116.52895,-108.19799,-113.2484,-113.70571,-114.4083,-114.344154,-112.13636,-116.823784,-109.26812,-109.20959,-112.266914,-115.64495,-118.06974,-112.94712,-112.995476,-115.80122,-117.30577,-115.504295,-111.804985,-112.904625,-115.80187,-113.97898,-113.87974,-114.336784,-107.53495,-108.426735,-118.13076,-116.77752,-113.264915,-117.62609,-118.37858,-112.25158,-108.39073,-114.88621
-118.10898,-116.24111,-114.19666,-115.25991,-115.08872,-110.66129,-115.84681,-115.0187,-116.74142,-109.995155,-113.42364,-117.636894,-116.040276,-112.79081,-114.947,-111.72543,-115.73466,-116.97176,-115.428795,-110.081566,-115.89816,-118.77839,-112.67008,-110.486595,-112.65652,-111.646866,-112.09731,-117.10557,-116.233376,-113.63844,-114.4179,-116.88323,-116.66272,-114.16558,-111.98306,-115.65569,-117.2462,-114.635506,-110.99865,-113.9553,-112.24294,-96.80421,-116.64243,-115.4704,-111.3556,-116.983635,-115.91843,-117.139915,-117.53214,-111.723564,-110.63454,-118.41573,-119.46215,-115.73255,-113.55245,-115.94149,-117.042656,-112.920135,-120.45849,-116.442795,-113.28138,-113.60276,-116.83576,-116.28343,-113.12856,-114.17313,-118.21106,-109.706215,-115.911,-113.24018,-114.149666,-115.48424,-113.07574,-118.5702,-109.96276,-112.27718,-113.7684,-117.29838,-119.598946,-114.65244,-116.0884,-116.464226,-117.6697,-117.23951,-113.7495,-114.2665,-117.30627,-115.18159,-116.12838,-114.15902,-109.22855,-109.50126,-118.33461,-115.88549,-114.38404,-116.34556,-118.71299,-113.86176,-111.521355,-116.94188
-118.658615,-118.37032,-115.48522,-116.497314,-117.295525,-112.36283,-117.886925,-116.83503,-117.974915,-111.95315,-114.84211,-119.66332,-116.92788,-116.16329,-114.28745,-112.03269,-116.87376,-117.72423,-117.01086,-111.064384,-116.68865,-119.87618,-113.81684,-110.455376,-112.767075,-112.736626,-114.21302,-118.43276,-117.60058,-114.92977,-115.01436,-118.19253,-117.81066,-115.81674,-112.164055,-118.079956,-117.96696,-115.42741,-112.90385,-114.1698,-113.499626,-97.663376,-118.88772,-115.23401,-111.94796,-118.54938,-116.552765,-118.37896,-118.57754,-113.36307,-112.09781,-119.17219,-120.74269,-116.68365,-114.788155,-116.98918,-117.90424,-114.03562,-121.4659,-116.89544,-114.57612,-114.65656,-118.52687,-117.40225,-113.81755,-114.27876,-118.68923,-110.80579,-116.52126,-115.4764,-115.08169,-117.37613,-115.36496,-119.19203,-111.8505,-113.738945,-115.44238,-118.48829,-120.20269,-115.50211,-116.039696,-117.83166,-119.354866,-117.529076,-114.513794,-115.65638,-117.91473,-116.275856,-116.37042,-115.432945,-111.45472,-111.56686,-119.99619,-118.51713,-114.95321,-119.21044,-120.059395,-115.08939,-111.65266,-117.91602
-116.862465,-118.21087,-115.03675,-117.154655,-117.11443,-112.57301,-117.756966,-116.274864,-117.087166,-111.37057,-114.772514,-118.10117,-117.91058,-115.850586,-114.544174,-112.92118,-117.19635,-118.830284,-116.749245,-111.40269,-116.98568,-119.048515,-112.86689,-111.918274,-113.29362,-111.291695,-113.35444,-118.51092,-117.36618,-116.13557,-114.233116,-118.28278,-119.33113,-115.88896,-114.57693,-118.74552,-118.071335,-115.898476,-113.92682,-114.43055,-114.28068,-99.76112,-118.799416,-117.398,-113.66978,-117.25318,-115.81962,-116.57072,-118.33276,-113.25214,-111.7079,-118.291534,-120.42481,-117.08883,-114.92693,-117.470055,-117.30214,-114.750084,-120.23303,-117.07765,-115.77386,-113.85279,-118.25609,-117.58283,-114.74939,-114.32526,-118.33292,-111.118034,-116.12039,-115.776405,-116.23364,-116.11106,-115.28367,-118.79924,-111.726906,-113.16709,-115.4968,-117.866585,-119.482506,-116.34638,-116.57898,-118.588844,-118.953545,-118.87386,-116.03972,-115.98748,-118.28831,-116.633385,-116.94811,-116.062614,-110.89627,-112.037224,-119.64965,-117.62769,-114.947044,-119.009315,-120.871376,-114.18169,-112.53773,-117.07749
-116.899895,-117.496,-113.47641,-115.68314,-113.871895,-111.60024,-115.63467,-116.13677,-116.051186,-109.93598,-113.69366,-117.30173,-116.07467,-115.10232,-114.06828,-111.376976,-114.84939,-116.921074,-115.90539,-109.52512,-116.0571,-118.565636,-112.1074,-110.20966,-111.80473,-110.105545,-110.61022,-117.22622,-117.059654,-113.45957,-113.12751,-117.19818,-118.27766,-114.19674,-114.434074,-116.78094,-116.95812,-114.95522,-110.37749,-114.75094,-110.74886,-98.13087,-118.586205,-114.612,-111.24082,-117.39947,-115.51722,-116.420235,-117.012474,-112.03341,-111.21406,-117.29856,-119.55353,-114.74946,-112.883766,-115.682846,-116.565056,-112.21192,-120.15559,-116.65908,-112.532936,-113.10444,-117.66189,-116.84261,-113.54438,-112.18682,-117.637,-109.74824,-115.38099,-115.37661,-115.38261,-115.457855,-113.533424,-118.38449,-111.019295,-111.16638,-112.963936,-118.31353,-118.827385,-114.1441,-115.93949,-117.46694,-118.931625,-117.27953,-112.99833,-114.80682,-117.92455,-115.28884,-114.977165,-115.6597,-110.007515,-111.43139,-118.680145,-117.32197,-114.00534,-118.01974,-119.4325,-113.2638,-110.48646,-115.49218
-116.270645,-116.740875,-112.223015,-114.68883,-114.287575,-109.34351,-115.22589,-113.68093,-115.73728,-109.30272,-112.298584,-116.26865,-114.9147,-113.41124,-111.876396,-109.58309,-114.57288,-115.917046,-114.8831,-107.00172,-115.08581,-117.80915,-110.49703,-109.22975,-109.83784,-108.682755,-111.38813,-116.59121,-115.402405,-111.91109,-111.00112,-116.7956,-116.74536,-114.197914,-111.90295,-116.32918,-115.521385,-112.40989,-111.03568,-111.21557,-111.717545,-93.03126,-117.4226,-113.64071,-109.912544,-116.49618,-114.360634,-116.822845,-116.97285,-108.92187,-108.63175,-115.95786,-119.165794,-113.90302,-111.844574,-114.72257,-115.30802,-110.762314,-119.662544,-114.21963,-111.358925,-111.6846,-116.58861,-114.06338,-113.255226,-110.4668,-117.200455,-107.83662,-114.27096,-113.26275,-114.75679,-113.89971,-113.04513,-116.372734,-108.050026,-110.49482,-112.77785,-116.94207,-118.39443,-113.16096,-114.07505,-115.786415,-116.631645,-116.56321,-111.049736,-113.2203,-114.36819,-114.95832,-113.79531,-113.73867,-107.51485,-108.95867,-118.3907,-116.16042,-112.12759,-117.08354,-119.381096,-111.05117,-109.66093,-115.94489
-114.73832,-116.337425,-110.85677,-113.59402,-112.52207,-108.009384,-113.62418,-113.59226,-114.74364,-108.151245,-112.87065,-116.16194,-114.85577,-112.333855,-111.49429,-109.461754,-113.182236,-115.50423,-114.47695,-108.90147,-114.25709,-116.73773,-109.1869,-107.68737,-109.84692,-107.746574,-108.55294,-116.1565,-114.199776,-111.21798,-110.899254,-116.178734,-115.855,-112.83891,-110.97024,-115.71548,-115.41789,-113.3608,-109.712135,-111.91565,-109.678314,-90.68046,-116.582054,-113.51139,-108.42827,-114.938545,-113.201866,-114.322754,-115.51978,-108.84811,-107.722206,-115.31663,-117.827065,-113.34266,-111.85503,-114.158745,-115.30256,-110.6912,-118.22784,-113.92653,-112.57235,-110.13086,-115.348854,-113.44009,-109.96356,-110.77911,-116.1612,-106.37955,-113.891304,-112.825294,-114.30789,-113.763016,-111.3345,-116.82308,-107.58091,-108.441216,-111.68113,-115.51998,-117.54902,-111.91725,-113.93369,-115.583496,-116.7844,-116.3283,-111.8613,-112.82967,-115.056,-113.66125,-113.818886,-113.29839,-108.65303,-106.213455,-116.95423,-115.29448,-111.27659,-115.40976,-117.57455,-111.30222,-109.00367,-114.334236
-116.38745,-114.38514,-110.89645,-113.298386,-114.38978,-106.70517,-114.29522,-112.21902,-114.84423,-106.77067,-112.97088,-115.761986,-113.946465,-111.61198,-111.22958,-107.80401,-112.23124,-114.67513,-114.50399,-106.92086,-113.05187,-116.380165,-110.060745,-106.58483,-108.77976,-108.15821,-109.80987,-115.202194,-114.330055,-110.48765,-110.991066,-114.89306,-114.36672,-111.669525,-110.1553,-115.03542,-114.191246,-113.34542,-108.78413,-111.141426,-108.70719,-89.950554,-116.68072,-112.365776,-106.387634,-114.86685,-114.02235,-115.166084,-116.11387,-109.901505,-107.89858,-115.1403,-116.847694,-112.40576,-111.072266,-113.6748,-114.93458,-110.36828,-118.10356,-113.363045,-110.98133,-111.232,-115.294075,-113.52064,-110.77046,-110.93853,-115.38146,-105.83292,-114.27751,-112.85116,-111.93,-114.02133,-109.8162,-115.72198,-107.39089,-109.16718,-110.98054,-114.9624,-117.34672,-111.16286,-113.697624,-114.69257,-116.8142,-114.8247,-111.06823,-111.94788,-115.15554,-113.664154,-113.86463,-112.97849,-107.98785,-106.58312,-116.70222,-114.38332,-110.138374,-115.38886,-116.75016,-111.34728,-106.39471,-114.54194
-115.75409,-115.54203,-111.28924,-113.983154,-111.88357,-107.761185,-115.65687,-112.940346,-115.35885,-107.210915,-113.686226,-115.20981,-115.46798,-113.43993,-110.687935,-107.86127,-113.6406,-116.00509,-113.82145,-108.20548,-114.223114,-116.73681,-109.27224,-108.9398,-109.210335,-110.20331,-110.69979,-116.13914,-115.05207,-112.85854,-110.82396,-115.08049,-115.11732,-112.49377,-110.45457,-115.95603,-115.122475,-114.1664,-111.17918,-111.02921,-111.31591,-91.22523,-117.38428,-112.947945,-106.3458,-115.84489,-112.96735,-116.16161,-115.31493,-110.716324,-109.1048,-117.13203,-117.98139,-113.659004,-112.26183,-115.010155,-114.826546,-111.6926,-118.331635,-114.324165,-113.56318,-112.25476,-115.68548,-113.9013,-112.99204,-111.47486,-116.421074,-107.00042,-114.107155,-111.24883,-113.516426,-113.7014,-111.819016,-116.30552,-106.98281,-109.960045,-113.46195,-115.50577,-118.458435,-112.59873,-113.73844,-115.851265,-116.84686,-115.304,-110.93254,-113.72758,-115.30154,-113.24157,-114.81814,-113.39577,-108.64486,-107.93996,-118.12876,-115.53272,-111.59329,-113.76302,-118.1495,-111.53074,-109.12489,-115.09658
