sequence_1,sequence_2,sequence_3,sequence_4,sequence_5,sequence_6,sequence_7,sequence_8,sequence_9,sequence_10,sequence_11,sequence_12,sequence_13,sequence_14,sequence_15,sequence_16,sequence_17,sequence_18,sequence_19,sequence_20,sequence_21,sequence_22,sequence_23,sequence_24,sequence_25,sequence_26,sequence_27,sequence_28,sequence_29,sequence_30,sequence_31,sequence_32,sequence_33,sequence_34,sequence_35,sequence_36,sequence_37,sequence_38,sequence_39,sequence_40,sequence_41,sequence_42,sequence_43,sequence_44,sequence_45,sequence_46,sequence_47,sequence_48,sequence_49,sequence_50,sequence_51,sequence_52,sequence_53,sequence_54,sequence_55,sequence_56,sequence_57,sequence_58,sequence_59,sequence_60,sequence_61,sequence_62,sequence_63,sequence_64,sequence_65,sequence_66,sequence_67,sequence_68,sequence_69,sequence_70,sequence_71,sequence_72,sequence_73,sequence_74,sequence_75,sequence_76,sequence_77,sequence_78,sequence_79,sequence_80,sequence_81,sequence_82,sequence_83,sequence_84,sequence_85,sequence_86,sequence_87,sequence_88,sequence_89,sequence_90,sequence_91,sequence_92,sequence_93,sequence_94,sequence_95,sequence_96,sequence_97,sequence_98,sequence_99,sequence_100
-0.38086158,-0.6906464,0.062040806,1.4530076,0.7124652,1.2290018,-1.2316792,-1.7434697,1.0992709,0.09764576,0.23756748,0.71209705,-2.4123662,-0.62258893,0.67495286,0.25391215,-0.624587,-0.8618079,-0.66279113,-1.1793689,-0.7690382,0.57117164,-0.822688,0.5422531,2.2321105,0.099415064,1.371932,0.8801757,0.34494787,0.49274725,-0.27930152,0.45033592,0.027334332,-0.54288065,0.45361078,0.45484108,1.4999374,1.3724306,-0.14842916,-1.7696773,-0.8979453,1.6516044,-1.1486475,-0.78612196,0.3260506,0.41522363,1.7307217,0.119155824,-1.0103656,0.99277854,-0.18613982,0.44689643,0.78708696,0.3650834,0.11580789,0.23147178,0.009429261,-0.36985713,1.2956027,-0.6797949,0.03243433,-0.4308421,-0.9814428,-2.1073213,-0.6603955,1.2122555,-0.61631894,1.0484313,0.85309094,-0.9058117,-0.8866377,0.61985934,1.0622978,-0.011748254,0.29301268,3.1857066,-0.17525378,-0.35019177,0.5577243,0.27016354,1.0210761,0.43990964,-1.4917309,1.390646,-1.4439704,-0.13361178,0.21916658,0.54596245,-1.2349997,-1.4562182,0.5679343,1.2849355,1.216888,0.7576355,-0.49313322,-1.491019,0.99656713,1.0138862,-0.15001702,1.3287817
2.3151243,2.064412,1.3709388,2.0514874,2.0320454,1.5426607,3.4200113,2.203606,1.7639388,1.97473,2.0211515,2.3021567,1.3831998,2.4006255,2.3793898,2.0560052,1.8079255,2.0877671,2.0473197,2.0995662,1.7325265,1.2325376,2.6330032,2.600975,2.6951585,3.4310355,2.3174543,1.6482927,2.6129475,2.3878512,1.8067582,2.193777,2.9863358,1.8844284,2.1228733,2.0511734,1.9918013,1.0532079,0.8266318,1.2282034,2.070803,1.9134936,1.4813191,3.856448,2.544362,1.5239146,1.9954044,1.899462,2.230554,2.0362215,2.2549164,2.529592,1.9992633,2.345851,1.8099473,2.5225224,2.1103718,2.408318,1.1513419,1.7982848,1.4936439,2.0473616,2.2504451,2.4580846,2.5589957,1.1561393,1.1958562,2.682757,2.2673683,2.169076,1.4881076,1.3242579,1.6029853,2.3314972,2.6868696,2.1568003,1.8765461,2.2962914,2.4217625,2.2125869,1.2695503,1.9420094,2.215298,2.43368,2.5618868,2.6544566,1.2289958,2.848328,1.9509704,2.3757849,2.0881827,2.6631882,2.7580545,2.2980425,3.3897634,2.8807783,1.9409406,2.3988233,3.0676203,0.61271846
1.7987627,1.5875401,2.0653608,2.1142294,2.173436,2.568389,1.5001016,2.337134,2.1353807,1.9833862,2.3937318,1.5302513,1.976006,1.9466773,2.0235777,2.2677093,2.223099,2.460674,2.3083725,2.3498182,1.7073989,2.5152757,2.452759,2.4964952,2.3638077,2.251821,1.7687628,2.710445,2.2524486,1.836441,2.278677,1.8464322,1.7259691,2.039746,2.3655143,1.5242438,2.1310759,2.299251,2.5992043,2.464541,2.108087,2.1885498,2.2754693,1.6412301,0.9034251,2.4484372,2.266225,1.8210659,1.9727154,1.4187979,1.6545404,2.1384702,2.4099329,2.6031866,2.2033954,1.1540107,1.962857,2.5228658,2.201725,2.539065,2.205644,1.8147339,2.5686154,1.8979145,2.1843095,1.9474471,2.3096137,2.0221329,1.5002567,2.6323652,1.9342041,1.2428148,1.6960789,2.4404237,1.8521183,1.7423809,1.6204076,2.3312201,2.1528363,1.4567052,2.2673087,1.6791177,1.7548777,2.3067694,1.9474453,1.9195721,1.7331684,1.5508457,1.5639633,2.1504188,2.2396686,2.0994198,2.2850652,1.069506,1.8871378,1.5895566,2.5882587,1.8079379,2.210563,1.9521221
2.271371,2.2070477,2.1919727,2.084839,1.5606992,0.84125245,1.8324541,1.5608814,1.0547962,1.9369856,0.99170667,1.9854349,1.3694713,1.4018348,2.0099936,1.9409351,1.645581,2.0395875,1.9056659,1.7135999,2.3779292,2.5478544,1.8381817,1.5625525,0.78547585,2.1599588,1.2127787,1.1018732,1.8347186,1.6280576,2.1352215,1.8835019,2.6668859,1.7938346,2.4140563,1.7461216,1.3934257,1.0176597,1.3149658,1.7923355,1.6480303,1.1769965,1.8010635,2.661089,2.328535,1.8267491,1.4304982,1.2533019,1.9413115,2.3653984,1.5079424,1.9048927,1.1366032,2.2083168,1.4922247,1.5708053,1.3713202,2.2517915,1.5916476,1.7154443,1.2785381,1.3112295,1.9193276,1.6388943,1.9724295,1.5391405,1.8784504,2.1009312,2.3363516,1.1101491,1.7161943,1.6633039,2.0939615,1.6731541,1.0598332,1.5259008,1.7517563,2.2491858,1.3687733,1.208349,1.4542606,2.1548858,2.03723,1.3054347,1.9985662,1.1480646,1.4498672,1.8820052,1.9280422,1.4366524,1.250993,2.049921,1.2750666,1.3228862,0.9960369,1.8584747,1.8328233,2.4117868,1.7197325,1.3896054
0.59152603,1.0002589,0.8752245,1.2952812,0.876369,0.9797648,1.4926904,-0.61067116,1.1446856,0.48723152,0.70220923,0.95702827,-0.17977539,0.76993114,1.5317022,1.1181202,0.8815113,-0.078808695,0.8982073,1.3827503,0.9118289,0.64089656,0.72994524,0.8925594,1.9256611,0.58299595,0.8260037,0.74147785,0.83103204,0.7087219,0.50170857,1.5421478,0.7111731,1.1830087,1.1647346,0.3665517,0.28070873,0.8031993,1.3450325,1.3089021,0.6097207,0.68541586,-0.5497085,0.89631134,0.6210135,1.6657616,0.92090106,1.5416251,0.7031145,0.4400638,0.04333186,0.6753158,0.65233696,0.4854344,1.1223005,0.57321095,-0.585085,0.78336596,1.0074055,0.79756397,1.275079,0.6330258,0.6802943,0.94610995,1.0555874,1.8055855,1.1268985,0.57598054,0.6344483,0.8196664,1.1097988,0.8820598,1.1434829,1.0051669,0.41389957,1.2606258,0.65993637,1.1232139,0.7677444,0.8908249,1.1080003,1.0000618,-0.12466508,1.6430806,0.5019531,0.4918393,1.0236889,0.9399779,1.1514957,0.87398314,0.70838475,1.2602063,1.1785387,0.5510612,0.8436554,0.37269372,1.0103768,1.3746461,1.0686245,1.2506506
0.122557245,0.38270897,0.3204023,-0.033225417,0.078362696,0.38483822,0.12463099,0.34946126,0.2575249,-0.47362915,0.22856337,-0.24009268,0.3904193,0.44839522,0.3001427,0.34103388,0.14765972,-0.08379167,0.14378548,0.6501436,0.44683576,-0.048387498,0.7039619,-0.04010278,1.1237301,0.39818656,1.0506549,0.29583636,-0.2309401,0.26078668,0.06689438,0.258418,0.1713703,0.5526819,0.11636938,1.2194246,0.16910002,0.39784402,1.1768044,0.32398307,-0.08625844,0.49464694,1.0869949,-0.16847089,-0.06748396,0.5153264,0.86994076,0.5816767,-0.029990315,-0.35748982,0.4472367,0.45060706,0.19163093,-0.0045714974,1.1323407,0.023774028,0.8395597,0.37694752,-0.35402405,0.22310281,1.0621004,0.29795837,0.9679346,0.18955597,0.8179609,0.73246056,0.6264541,0.6886142,-0.22811885,0.557584,0.47741258,0.8485323,0.075357944,1.466389,0.65645295,0.2717526,0.5303929,0.36384657,0.6970759,0.03848812,0.95079064,0.63406014,0.36010805,0.028251648,-0.0022559613,-0.29180777,0.17107597,0.66781056,-0.16846633,-0.08441371,0.60139847,0.07874641,0.19997232,0.17905945,0.5038988,0.42980853,0.5945019,-0.21827784,0.20934227,0.5550771
-0.26625305,0.5686088,-0.10065037,-0.4452191,0.30567124,0.7786768,0.391266,0.52896065,0.07959452,0.3645075,0.12965798,0.42188764,0.9635626,0.3805375,0.31374896,0.05659592,0.37705326,0.2666533,0.81159246,-0.5860717,0.2711806,-0.074588,0.6972955,-0.09099311,0.072090656,0.12466115,-0.19397944,0.5039273,0.3801214,0.1957278,0.72783893,0.22033197,-0.29878306,0.5779464,0.2692666,0.36554635,0.49917144,0.01912731,0.019571811,0.44460905,0.43421847,0.41443208,0.748142,-0.2435978,-0.4131451,0.49962354,0.46709037,-0.012935758,0.22478148,-0.03748755,-0.45428103,0.487638,0.3349204,0.88311785,0.5216644,-0.27365923,0.22652686,-0.055331707,0.37509292,0.32282484,0.32489628,0.060718358,-0.01663953,0.3353231,0.45108318,-0.012749493,-0.04448685,-0.125238,0.5325478,-0.08081442,0.73253185,-0.26370025,0.21541259,0.11756879,-0.52431214,-0.11724326,0.2004132,0.36935538,0.8533484,0.7235252,0.17225769,0.81682515,0.117078096,0.13420072,0.82784295,0.17164692,0.1990504,-0.6722302,0.5754658,0.25508344,0.09276405,0.046863794,0.3720879,0.04009206,0.20028585,-0.25777137,-0.2529933,0.765028,0.87695044,0.65100896
0.11989266,0.5372127,0.50378054,0.8988792,0.6126334,0.08758557,0.39639568,0.42408788,0.5928537,0.6025798,0.34200752,0.4132496,0.29666752,0.55632067,0.075240314,0.6450925,0.524397,-0.06832647,1.3873179,0.6969063,-0.48715615,0.6578353,0.86176825,0.4450549,0.5250175,0.024210215,0.7106495,0.2813555,0.27137178,0.14249146,0.04631567,0.7345751,0.105656385,0.21970141,0.18932396,0.4741302,0.16081119,0.77899283,1.027266,0.79928154,0.44165862,0.2418077,0.0109303,0.109464526,0.19354981,0.48694718,0.60645103,0.41183108,0.5200496,0.2307334,0.46746582,1.2301393,-0.03488207,0.56740355,0.598715,-0.13490987,0.6016084,0.83517253,0.3252018,0.26049393,1.0291091,-0.07056892,0.3779453,0.81467885,0.8562665,0.44666123,0.25706422,0.14922601,-0.4939273,-0.06794816,0.2598459,0.6118859,-0.55705136,0.8759549,-0.026887119,0.41166687,-0.30042103,0.36363477,0.28541124,0.4267829,0.565313,1.0003581,0.16446614,0.106475115,-0.09749591,0.28911507,0.25643992,-0.5548407,0.96142817,0.037420213,0.8528199,0.55685735,-0.21101576,0.3128904,0.34754622,0.7853589,0.72467315,0.031043053,0.62735796,0.13057071
0.34888947,0.68205833,-0.124884605,0.31027126,-0.064801216,0.45973122,0.5150962,0.38127184,0.3628059,0.59897494,0.1294254,0.6371925,0.446342,0.24991351,0.4267143,-0.082865775,0.1554209,-0.11959219,0.10446817,-0.007260978,0.32609677,0.4890309,-0.031711936,0.5647971,0.011181951,0.80028576,0.475034,-0.067671955,0.38789505,0.36231464,-0.27664083,0.5327598,0.30606455,0.538836,0.6495271,0.20531279,0.7188396,0.28750712,0.42887092,0.4145764,0.72789633,0.8461099,0.5137618,0.20258343,0.7931407,0.06665504,0.71827614,0.5181456,0.11480856,0.5501346,-0.40924534,0.43451083,0.74181795,0.7931236,0.0557158,0.09247422,0.47613436,-0.052066088,0.2692477,0.41844517,0.23224986,0.8014537,0.35717237,0.83936524,1.1093202,0.1951155,0.4547367,0.48302495,0.6994921,1.0186069,-0.38443208,0.56124717,-0.1607899,0.6273301,0.8609487,-0.25914395,-0.7775408,0.21928483,-0.08572364,0.23419178,0.0759511,0.27526426,-0.053358674,0.7798511,0.72664213,0.40194726,0.51959944,0.23163939,0.3964855,-0.16388756,0.6544999,0.825586,1.1011871,0.22283697,0.58113563,0.044124365,0.528434,0.3480116,0.39274538,-0.47698075
0.00031971931,-0.21471274,-0.6332111,-0.23182923,-0.57517236,-0.7283,-0.29766622,0.107457906,-0.73218167,-0.77081406,-0.01738143,-0.044719934,-0.3331656,-0.36406964,-0.6258944,-0.47907817,-0.3754214,0.22512653,-0.74095523,-0.80614704,0.15079331,-0.46515557,-0.36591095,-0.3113712,-0.3595717,0.556275,-0.63144624,-0.5017175,0.008410335,-0.9550737,-0.47242278,-0.8821013,0.06434211,-0.5766013,-1.0129386,-0.08097386,-0.029414892,-0.1300239,-0.21075672,-0.60894257,-0.553287,-0.29948318,0.16233486,-0.4627114,0.08079076,0.28744382,-0.14143357,-0.94134617,0.34332353,-0.6642543,0.010121763,0.47370893,-1.181849,0.3357739,-0.8794099,-0.8627923,0.108698994,-0.41129774,-0.6762332,-0.27852547,-0.36887044,-0.673853,-0.35947743,0.13360512,0.21621835,-0.6196232,-0.4492103,-0.08523393,-0.38017398,0.025383145,-0.39135808,-0.77995,-0.5059586,-0.07050556,-0.41526526,-0.6126739,-0.41195908,-0.72448176,-0.17552587,-0.40867186,-0.36227608,-0.3111952,-1.0246621,-0.4732839,-0.10129285,-0.3898818,-0.25388128,-0.5379631,0.49411067,-0.20074156,-0.17379564,-0.12257612,-0.14345562,-0.7755922,0.38969892,0.28319803,-0.7965714,-0.58003604,0.36053973,-0.59355676
